ticker,company_name,sector,industry
NESTLEIND.NS,Nestle India Ltd.,Consumer Defensive,Packaged Foods
NETWEB.NS,Netweb Technologies India Ltd.,Technology,Computer Hardware
NEULANDLAB.NS,Neuland Laboratories Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
NEWGEN.NS,Newgen Software Technologies Ltd.,Technology,Software - Infrastructure
NAM-INDIA.NS,Nippon Life India Asset Management Ltd.,Financial Services,Asset Management
NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services,Insurance - Life
NUVAMA.NS,Nuvama Wealth Management Ltd.,Financial Services,Asset Management
NUVOCO.NS,Nuvoco Vistas Corporation Ltd.,Basic Materials,Building Materials
OBEROIRLTY.NS,Oberoi Realty Ltd.,Real Estate,Real Estate - Development
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Energy,Oil & Gas Integrated
OIL.NS,Oil India Ltd.,Energy,Oil & Gas Integrated
OLAELEC.NS,Ola Electric Mobility Ltd.,Consumer Cyclical,Auto Manufacturers
OLECTRA.NS,Olectra Greentech Ltd.,Industrials,Farm & Heavy Construction Machinery
PAYTM.NS,One 97 Communications Ltd.,Technology,Software - Infrastructure
ONESOURCE.NS,Onesource Specialty Pharma Ltd.,Healthcare,Biotechnology
OFSS.NS,Oracle Financial Services Software Ltd.,Technology,Software - Infrastructure
POLICYBZR.NS,PB Fintech Ltd.,Financial Services,Insurance Brokers
PCBL.NS,PCBL Chemical Ltd.,Basic Materials,Specialty Chemicals
PGEL.NS,PG Electroplast Ltd.,Technology,Electronic Components
PIIND.NS,PI Industries Ltd.,Basic Materials,Agricultural Inputs
PNBHOUSING.NS,PNB Housing Finance Ltd.,Financial Services,Mortgage Finance
PTCIL.NS,PTC Industries Ltd.,Industrials,Metal Fabrication
PVRINOX.NS,PVR INOX Ltd.,Communication Services,Entertainment
PAGEIND.NS,Page Industries Ltd.,Consumer Cyclical,Apparel Manufacturing
PARADEEP.NS,Paradeep Phosphates Ltd.,Basic Materials,Agricultural Inputs
PATANJALI.NS,Patanjali Foods Ltd.,Consumer Defensive,Packaged Foods
PERSISTENT.NS,Persistent Systems Ltd.,Technology,Information Technology Services
PETRONET.NS,Petronet LNG Ltd.,Energy,Oil & Gas Refining & Marketing
PFIZER.NS,Pfizer Ltd.,Healthcare,Drug Manufacturers - General
PHOENIXLTD.NS,Phoenix Mills Ltd.,Real Estate,Real Estate - Diversified
PWL.NS,Physicswallah Ltd.,Consumer Defensive,Education & Training Services
PIDILITIND.NS,Pidilite Industries Ltd.,Basic Materials,Specialty Chemicals
PINELABS.NS,Pine Labs Ltd.,Technology,Software - Infrastructure
PIRAMALFIN.NS,Piramal Finance Ltd.,Financial Services,Credit Services
PPLPHARMA.NS,Piramal Pharma Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
POLYMED.NS,Poly Medicure Ltd.,Healthcare,Medical Instruments & Supplies
POLYCAB.NS,Polycab India Ltd.,Industrials,Electrical Equipment & Parts
POONAWALLA.NS,Poonawalla Fincorp Ltd.,Financial Services,Credit Services
PFC.NS,Power Finance Corporation Ltd.,Financial Services,Credit Services
POWERGRID.NS,Power Grid Corporation of India Ltd.,Utilities,Utilities - Regulated Electric
PREMIERENE.NS,Premier Energies Ltd.,Technology,Solar
PRESTIGE.NS,Prestige Estates Projects Ltd.,Real Estate,Real Estate - Diversified
PNB.NS,Punjab National Bank,Financial Services,Banks - Regional
RRKABEL.NS,R R Kabel Ltd.,Industrials,Electrical Equipment & Parts
RBLBANK.NS,RBL Bank Ltd.,Financial Services,Banks - Regional
RECLTD.NS,REC Ltd.,Financial Services,Credit Services
RHIM.NS,RHI MAGNESITA INDIA LTD.,Industrials,Metal Fabrication
RITES.NS,RITES Ltd.,Industrials,Engineering & Construction
RADICO.NS,Radico Khaitan Ltd,Consumer Defensive,Beverages - Wineries & Distilleries
RVNL.NS,Rail Vikas Nigam Ltd.,Industrials,Engineering & Construction
RAILTEL.NS,Railtel Corporation Of India Ltd.,Communication Services,Telecom Services
RAINBOW.NS,Rainbow Childrens Medicare Ltd.,Healthcare,Medical Care Facilities
RKFORGE.NS,Ramkrishna Forgings Ltd.,Industrials,Metal Fabrication
REDINGTON.NS,Redington Ltd.,Technology,Information Technology Services
RELIANCE.NS,Reliance Industries Ltd.,Energy,Oil & Gas Refining & Marketing
RPOWER.NS,Reliance Power Ltd.,Utilities,Utilities - Independent Power Producers
SBFC.NS,SBFC Finance Ltd.,Financial Services,Credit Services
SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services,Credit Services
SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services,Insurance - Life
SJVN.NS,SJVN Ltd.,Utilities,Utilities - Renewable
SRF.NS,SRF Ltd.,Industrials,Conglomerates
SAGILITY.NS,Sagility Ltd.,Healthcare,Health Information Services
SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare,Diagnostics & Research
SAMMAANCAP.NS,Sammaan Capital Ltd.,Financial Services,Mortgage Finance
MOTHERSON.NS,Samvardhana Motherson International Ltd.,Consumer Cyclical,Auto Parts
SAPPHIRE.NS,Sapphire Foods India Ltd.,Consumer Cyclical,Restaurants
SARDAEN.NS,Sarda Energy and Minerals Ltd.,Basic Materials,Steel
SAREGAMA.NS,Saregama India Ltd,Communication Services,Entertainment
SCHAEFFLER.NS,Schaeffler India Ltd.,Consumer Cyclical,Auto Parts
SCHNEIDER.NS,Schneider Electric Infrastructure Ltd.,Industrials,Electrical Equipment & Parts
SCI.NS,Shipping Corporation of India Ltd.,Industrials,Marine Shipping
SHREECEM.NS,Shree Cement Ltd.,Basic Materials,Building Materials
SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services,Credit Services
SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Basic Materials,Steel
ENRIN.NS,Siemens Energy India Ltd.,Utilities,Utilities - Renewable
SIEMENS.NS,Siemens Ltd.,Industrials,Specialty Industrial Machinery
SIGNATURE.NS,Signatureglobal (India) Ltd.,Real Estate,Real Estate - Development
SOBHA.NS,Sobha Ltd.,Real Estate,Real Estate - Development
SOLARINDS.NS,Solar Industries India Ltd.,Basic Materials,Specialty Chemicals
SONACOMS.NS,Sona BLW Precision Forgings Ltd.,Consumer Cyclical,Auto Parts
SONATSOFTW.NS,Sonata Software Ltd.,Technology,Information Technology Services
STARHEALTH.NS,Star Health and Allied Insurance Company Ltd.,Financial Services,Insurance - Life
SBIN.NS,State Bank of India,Financial Services,Banks - Regional
SAIL.NS,Steel Authority of India Ltd.,Basic Materials,Steel
SUMICHEM.NS,Sumitomo Chemical India Ltd.,Basic Materials,Agricultural Inputs
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
SUNTV.NS,Sun TV Network Ltd.,Communication Services,Broadcasting
SUNDARMFIN.NS,Sundaram Finance Ltd.,Financial Services,Credit Services
SUPREMEIND.NS,Supreme Industries Ltd.,Industrials,Building Products & Equipment
SPLPETRO.NS,Supreme Petrochem Ltd.,Basic Materials,Specialty Chemicals
SUZLON.NS,Suzlon Energy Ltd.,Industrials,Specialty Industrial Machinery
SWANCORP.NS,Swan Corp Ltd.,Industrials,Conglomerates
SWIGGY.NS,Swiggy Ltd.,Consumer Cyclical,Internet Retail
SYNGENE.NS,Syngene International Ltd.,Healthcare,Diagnostics & Research
SYRMA.NS,Syrma SGS Technology Ltd.,Technology,Electronic Components
TBOTEK.NS,TBO Tek Ltd.,Consumer Cyclical,Travel Services
TVSMOTOR.NS,TVS Motor Company Ltd.,Consumer Cyclical,Auto Manufacturers
TATACAP.NS,Tata Capital Ltd.,Financial Services,Credit Services
TATACHEM.NS,Tata Chemicals Ltd.,Basic Materials,Chemicals
TATACOMM.NS,Tata Communications Ltd.,Communication Services,Telecom Services
TCS.NS,Tata Consultancy Services Ltd.,Technology,Information Technology Services
TATACONSUM.NS,Tata Consumer Products Ltd.,Consumer Defensive,Packaged Foods
TATAELXSI.NS,Tata Elxsi Ltd.,Technology,Software - Application
TATAINVEST.NS,Tata Investment Corporation Ltd.,Financial Services,Asset Management
TMCV.NS,Tata Motors Ltd.,Consumer Cyclical,Auto Manufacturers
TMPV.NS,Tata Motors Passenger Vehicles Ltd.,Consumer Cyclical,Auto Manufacturers
TATAPOWER.NS,Tata Power Co. Ltd.,Utilities,Utilities - Independent Power Producers
TATASTEEL.NS,Tata Steel Ltd.,Basic Materials,Steel
TATATECH.NS,Tata Technologies Ltd.,Technology,Information Technology Services
TTML.NS,Tata Teleservices (Maharashtra) Ltd.,Communication Services,Telecom Services
TECHM.NS,Tech Mahindra Ltd.,Technology,Information Technology Services
TECHNOE.NS,Techno Electric & Engineering Company Ltd.,Industrials,Engineering & Construction
TEGA.NS,Tega Industries Ltd.,Industrials,Specialty Industrial Machinery
TEJASNET.NS,Tejas Networks Ltd.,Technology,Communication Equipment
TENNIND.NS,Tenneco Clean Air India Ltd.,Consumer Cyclical,Auto Parts
NIACL.NS,The New India Assurance Company Ltd.,Financial Services,Insurance - Diversified
RAMCOCEM.NS,The Ramco Cements Ltd.,Basic Materials,Building Materials
THERMAX.NS,Thermax Ltd.,Industrials,Conglomerates
TIMKEN.NS,Timken India Ltd.,Industrials,Tools & Accessories
TITAGARH.NS,Titagarh Rail Systems Ltd.,Industrials,Railroads
TITAN.NS,Titan Company Ltd.,Consumer Cyclical,Luxury Goods
TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
TORNTPOWER.NS,Torrent Power Ltd.,Utilities,Utilities - Independent Power Producers
TARIL.NS,Transformers And Rectifiers (India) Ltd.,Industrials,Electrical Equipment & Parts
TRAVELFOOD.NS,Travel Food Services Ltd.,Consumer Cyclical,Restaurants
TRENT.NS,Trent Ltd.,Consumer Cyclical,Apparel Retail
TRIDENT.NS,Trident Ltd.,Consumer Cyclical,Textile Manufacturing
TRITURBINE.NS,Triveni Turbine Ltd.,Industrials,Specialty Industrial Machinery
TIINDIA.NS,Tube Investments of India Ltd.,Industrials,Conglomerates
UCOBANK.NS,UCO Bank,Financial Services,Banks - Regional
UNOMINDA.NS,UNO Minda Ltd.,Consumer Cyclical,Auto Parts
UPL.NS,UPL Ltd.,Basic Materials,Agricultural Inputs
UTIAMC.NS,UTI Asset Management Company Ltd.,Financial Services,Asset Management
ULTRACEMCO.NS,UltraTech Cement Ltd.,Basic Materials,Building Materials
UNIONBANK.NS,Union Bank of India,Financial Services,Banks - Regional
UBL.NS,United Breweries Ltd.,Consumer Defensive,Beverages - Brewers
UNITDSPR.NS,United Spirits Ltd.,Consumer Defensive,Beverages - Wineries & Distilleries
URBANCO.NS,Urban Company Ltd.,Technology,Software - Application
USHAMART.NS,Usha Martin Ltd.,Basic Materials,Steel
VTL.NS,Vardhman Textiles Ltd.,Consumer Cyclical,Textile Manufacturing
VBL.NS,Varun Beverages Ltd.,Consumer Defensive,Beverages - Non-Alcoholic
VEDL.NS,Vedanta Ltd.,Basic Materials,Other Industrial Metals & Mining
VIJAYA.NS,Vijaya Diagnostic Centre Ltd.,Healthcare,Diagnostics & Research
VMM.NS,Vishal Mega Mart Ltd.,Consumer Cyclical,Department Stores
IDEA.NS,Vodafone Idea Ltd.,Communication Services,Telecom Services
VOLTAS.NS,Voltas Ltd.,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WAAREEENER.NS,Waaree Energies Ltd.,Technology,Solar
WELCORP.NS,Welspun Corp Ltd.,Basic Materials,Steel
WELSPUNLIV.NS,Welspun Living Ltd.,Consumer Cyclical,Textile Manufacturing
WHIRLPOOL.NS,Whirlpool of India Ltd.,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WIPRO.NS,Wipro Ltd.,Technology,Information Technology Services
WOCKPHARMA.NS,Wockhardt Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
YESBANK.NS,Yes Bank Ltd.,Financial Services,Banks - Regional
ZFCVINDIA.NS,ZF Commercial Vehicle Control Systems India Ltd.,Consumer Cyclical,Auto Parts
ZEEL.NS,Zee Entertainment Enterprises Ltd.,Communication Services,Broadcasting
ZENTEC.NS,Zen Technologies Ltd.,Industrials,Aerospace & Defense
ZENSARTECH.NS,Zensar Technolgies Ltd.,Technology,Information Technology Services
ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic
ZYDUSWELL.NS,Zydus Wellness Ltd.,Consumer Defensive,Packaged Foods
ECLERX.NS,eClerx Services Ltd.,Technology,Information Technology Services
